YEAR,MO,DY,PRECTOTCORR,TS,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVB,ALLSKY_SFC_UVA
1982,1,1,8.16,24.52,-999,-999,-999
1982,1,2,4.58,23.6,-999,-999,-999
1982,1,3,4.25,24.55,-999,-999,-999
1982,1,4,8.58,24.13,-999,-999,-999
1982,1,5,9.62,23.52,-999,-999,-999
1982,1,6,9.5,23.77,-999,-999,-999
1982,1,7,25.72,23.11,-999,-999,-999
1982,1,8,13.15,22.79,-999,-999,-999
1982,1,9,7.96,23.39,-999,-999,-999
1982,1,10,27.95,23.29,-999,-999,-999
1982,1,11,38.38,23.51,-999,-999,-999
1982,1,12,17.1,23.65,-999,-999,-999
1982,1,13,10.58,23.32,-999,-999,-999
1982,1,14,8.41,22.48,-999,-999,-999
1982,1,15,8.67,22.57,-999,-999,-999
1982,1,16,9.46,23.54,-999,-999,-999
1982,1,17,5.54,23.53,-999,-999,-999
1982,1,18,15.03,23.86,-999,-999,-999
1982,1,19,16.4,23.69,-999,-999,-999
1982,1,20,17.91,24.2,-999,-999,-999
1982,1,21,11.52,24.33,-999,-999,-999
1982,1,22,9.47,22.91,-999,-999,-999
1982,1,23,11.49,23.78,-999,-999,-999
1982,1,24,10.48,23.24,-999,-999,-999
1982,1,25,3.93,23.65,-999,-999,-999
1982,1,26,4.49,23.67,-999,-999,-999
1982,1,27,4.88,23.98,-999,-999,-999
1982,1,28,1.78,24.35,-999,-999,-999
1982,1,29,18.12,23.69,-999,-999,-999
1982,1,30,12.97,23.51,-999,-999,-999
1982,1,31,20.15,24.18,-999,-999,-999
1982,2,1,4.33,23.2,-999,-999,-999
1982,2,2,3.68,24.4,-999,-999,-999
1982,2,3,2.27,23.48,-999,-999,-999
1982,2,4,14.25,24.44,-999,-999,-999
1982,2,5,16.55,23.37,-999,-999,-999
1982,2,6,2.19,22.48,-999,-999,-999
1982,2,7,2.48,23.55,-999,-999,-999
1982,2,8,4.69,24.06,-999,-999,-999
1982,2,9,6.97,24.48,-999,-999,-999
1982,2,10,2.2,24.12,-999,-999,-999
1982,2,11,6.99,24.21,-999,-999,-999
1982,2,12,11.86,22.98,-999,-999,-999
1982,2,13,6.41,23.83,-999,-999,-999
1982,2,14,23.83,23.3,-999,-999,-999
1982,2,15,10.94,23.94,-999,-999,-999
1982,2,16,4.92,23.23,-999,-999,-999
1982,2,17,2.82,23.83,-999,-999,-999
1982,2,18,6.36,23.14,-999,-999,-999
1982,2,19,2.34,23.95,-999,-999,-999
1982,2,20,0.4,24.24,-999,-999,-999
1982,2,21,1.71,24.18,-999,-999,-999
1982,2,22,3.38,24.3,-999,-999,-999
1982,2,23,4.58,23.64,-999,-999,-999
1982,2,24,3.14,23.91,-999,-999,-999
1982,2,25,7.96,23.89,-999,-999,-999
1982,2,26,1.99,24.72,-999,-999,-999
1982,2,27,2.6,24.73,-999,-999,-999
1982,2,28,4.54,24.34,-999,-999,-999
1982,3,1,11.48,23.95,-999,-999,-999
1982,3,2,14.69,23.4,-999,-999,-999
1982,3,3,5.89,23.14,-999,-999,-999
1982,3,4,0.68,23.58,-999,-999,-999
1982,3,5,1.5,23.65,-999,-999,-999
1982,3,6,0.1,23.9,-999,-999,-999
1982,3,7,0,23.76,-999,-999,-999
1982,3,8,0.12,24.12,-999,-999,-999
1982,3,9,0.03,24.52,-999,-999,-999
1982,3,10,23.25,23.52,-999,-999,-999
1982,3,11,0.69,24.23,-999,-999,-999
1982,3,12,0.14,24.25,-999,-999,-999
1982,3,13,1.28,23.28,-999,-999,-999
