DATE,PRECTOTCORR,TS,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVB,ALLSKY_SFC_UVA
2001-01-01,4.18,26.31,2.48,0.48,14.62
2001-01-02,7.6,26.08,2.41,0.46,14.45
2001-01-03,7.21,24.67,2.29,0.43,13.26
2001-01-04,23.98,25.22,2.3,0.45,13.81
2001-01-05,5.14,24.08,1.85,0.36,11.04
2001-01-06,12.27,24.71,1.88,0.36,10.86
2001-01-07,14.03,23.78,2.15,0.41,12.05
2001-01-08,9.12,23.65,2.28,0.44,13.44
2001-01-09,8.83,23.83,2.09,0.41,12.48
2001-01-10,3.77,23.95,1.79,0.34,10.58
2001-01-11,0.48,23.81,2.08,0.4,11.7
2001-01-12,0.45,23.62,2.07,0.4,11.77
2001-01-13,0.14,24.76,2.56,0.48,14.75
2001-01-14,0.0,24.99,2.48,0.48,14.7
2001-01-15,1.83,23.9,2.44,0.46,14.05
2001-01-16,3.53,24.8,1.91,0.37,11.64
2001-01-17,2.73,24.37,2.34,0.45,13.32
2001-01-18,3.47,24.52,2.17,0.41,11.98
2001-01-19,1.97,24.2,2.45,0.46,13.5
2001-01-20,3.16,24.63,2.03,0.39,11.69
2001-01-21,1.7,24.22,2.5,0.48,14.34
2001-01-22,28.53,25.06,2.27,0.43,12.87
2001-01-23,18.76,23.4,2.37,0.45,13.09
2001-01-24,1.58,24.97,2.84,0.53,16.31
2001-01-25,2.22,25.6,2.55,0.48,14.19
2001-01-26,6.74,25.75,2.59,0.48,14.32
2001-01-27,4.56,24.85,2.95,0.55,16.73
2001-01-28,13.86,25.28,2.64,0.5,14.77
2001-01-29,10.34,24.71,2.51,0.47,13.62
2001-01-30,10.55,24.21,1.89,0.35,9.79
2001-01-31,21.06,24.13,2.19,0.41,12.05
2001-02-01,6.94,23.58,1.63,0.31,8.83
2001-02-02,2.43,24.12,2.1,0.4,11.68
2001-02-03,1.86,23.73,1.87,0.35,10.27
2001-02-04,2.36,23.76,1.77,0.34,9.6
2001-02-05,8.24,24.05,2.08,0.4,11.55
2001-02-06,12.22,24.73,1.95,0.38,10.66
2001-02-07,36.71,23.7,1.78,0.34,9.62
2001-02-08,45.58,23.57,1.23,0.23,6.87
2001-02-09,7.83,24.47,2.62,0.49,14.39
2001-02-10,5.05,24.51,2.07,0.4,11.9
2001-02-11,17.46,23.81,1.3,0.25,7.03
2001-02-12,6.88,24.42,2.59,0.48,14.5
2001-02-13,3.79,24.31,1.88,0.36,10.37
2001-02-14,3.54,24.37,2.7,0.5,14.53
2001-02-15,4.57,23.84,1.85,0.35,9.84
2001-02-16,6.88,24.95,2.72,0.51,15.29
2001-02-17,10.87,24.09,1.8,0.34,9.38
2001-02-18,13.29,23.81,1.82,0.34,9.38
2001-02-19,5.31,24.41,2.55,0.48,13.93
